Time,Fraction of Second,Code
12:01:32,0.722222222,A
12:01:32,0.75,Q
12:01:32,0.777777778,Q
12:01:32,0.805555556,Q
12:01:32,0.833333333,C
12:01:32,0.861111111,Q
12:01:32,0.888888889,Q
12:01:32,0.916666667,B
12:01:32,0.944444444,Y
12:01:32,0.972222222,J
12:01:33,0,Q
12:01:33,0.066666667,J
12:01:33,0.133333333,P
12:01:33,0.2,Q
12:01:33,0.266666667,Q
12:01:33,0.333333333,Q
12:01:33,0.4,Q
12:01:33,0.466666667,Z
12:01:33,0.533333333,Z
12:01:33,0.6,Q
12:01:33,0.666666667,Q
12:01:33,0.733333333,P
12:01:33,0.8,P
12:01:33,0.866666667,P
12:01:33,0.933333333,P
12:01:34,0,Q
12:01:34,0.25,Q
12:01:34,0.5,K
12:01:34,0.75,P
12:01:35,0,Y
12:01:35,0.045454545,J
12:01:35,0.090909091,P
12:01:35,0.136363636,Q
12:01:35,0.181818182,Q
12:01:35,0.227272727,Q
12:01:35,0.272727273,A
12:01:35,0.318181818,Q
12:01:35,0.363636364,J
12:01:35,0.409090909,A
12:01:35,0.454545455,A
12:01:35,0.5,A
12:01:35,0.545454545,Q
12:01:35,0.590909091,Q
12:01:35,0.636363636,Q
12:01:35,0.681818182,A
12:01:35,0.727272727,Q
12:01:35,0.772727273,Q
12:01:35,0.818181818,Q
12:01:35,0.863636364,Q
12:01:35,0.909090909,A
12:01:35,0.954545455,P
12:01:36,0,D
12:01:36,0.090909091,Q
12:01:36,0.181818182,Q
12:01:36,0.272727273,Q
12:01:36,0.363636364,J
12:01:36,0.454545455,Y
12:01:36,0.545454545,Y
12:01:36,0.636363636,D
12:01:36,0.727272727,D
12:01:36,0.818181818,D
12:01:36,0.909090909,Q
12:01:37,0,Q
12:01:37,0.1,J
12:01:37,0.2,K
12:01:37,0.3,D
12:01:37,0.4,A
12:01:37,0.5,Z
12:01:37,0.6,K
12:01:37,0.7,J
12:01:37,0.8,P
12:01:37,0.9,D
12:01:38,0,D
12:01:38,0.5,D
12:01:39,0,P
12:01:39,0.5,Z
12:01:40,0,D
12:01:40,0.25,Z
12:01:40,0.5,D
12:01:40,0.75,Q
12:01:41,0,D
12:01:41,0.5,J
12:01:42,0,Y
12:01:42,0.055555556,Q
12:01:42,0.111111111,J
12:01:42,0.166666667,A
12:01:42,0.222222222,Z
12:01:42,0.277777778,Z
12:01:42,0.333333333,Y
12:01:42,0.388888889,J
12:01:42,0.444444444,P
12:01:42,0.5,P
12:01:42,0.555555556,A
12:01:42,0.611111111,B
12:01:42,0.666666667,B
12:01:42,0.722222222,Q
12:01:42,0.777777778,A
12:01:42,0.833333333,Q
12:01:42,0.888888889,Q
12:01:42,0.944444444,P
12:01:50,0,D
12:01:55,0,D
12:01:55,0.25,Q
12:01:55,0.5,A
12:01:55,0.75,K
12:01:57,0,D
12:01:58,0,D
12:01:59,0,D
12:02:00,0,B
12:02:00,0.090909091,B
12:02:00,0.181818182,Y
12:02:00,0.272727273,P
12:02:00,0.363636364,P
12:02:00,0.454545455,P
12:02:00,0.545454545,P
12:02:00,0.636363636,A
12:02:00,0.727272727,B
12:02:00,0.818181818,Y
12:02:00,0.909090909,Z
12:02:01,0,D
12:02:02,0,D
12:02:03,0,D
12:02:03,0.142857143,Y
12:02:03,0.285714286,K
12:02:03,0.428571429,D
12:02:03,0.571428571,Q
12:02:03,0.714285714,Q
12:02:03,0.857142857,Q
12:02:04,0,Q
12:02:04,0.25,P
12:02:04,0.5,P
12:02:04,0.75,D
12:02:07,0,Q
12:02:07,0.166666667,Q
12:02:07,0.333333333,Y
12:02:07,0.5,Q
12:02:07,0.666666667,K
12:02:07,0.833333333,K
12:02:10,0,D
12:02:11,0,Y
12:02:12,0,P
12:02:13,0,Q
12:02:13,0.25,P
12:02:13,0.5,D
12:02:13,0.75,D
12:02:14,0,Y
12:02:14,0.2,Y
12:02:14,0.4,Z
12:02:14,0.6,Q
12:02:14,0.8,Z
12:02:19,0,D
12:02:19,0.5,K
12:02:22,0,Q
12:02:24,0,D
12:02:25,0,K
12:02:25,0.25,K
12:02:25,0.5,A
12:02:25,0.75,D
12:02:28,0,D
12:02:32,0,Q
12:02:36,0,D
12:02:41,0,J
12:02:41,0.5,Q
12:02:42,0,Z
12:02:42,0.066666667,Z
12:02:42,0.133333333,Z
12:02:42,0.2,K
12:02:42,0.266666667,K
12:02:42,0.333333333,K
12:02:42,0.4,D
12:02:42,0.466666667,P
12:02:42,0.533333333,P
12:02:42,0.6,P
12:02:42,0.666666667,P
12:02:42,0.733333333,P
12:02:42,0.8,K
12:02:42,0.866666667,K
12:02:42,0.933333333,D
12:02:43,0,Z
